Company Name,Office Address,Google Maps Link,Website,Careers Page,HR/Recruitment Email,Phone Number,LinkedIn Company Page,Industry,Company Size (approx.),Fresher Friendly Score (1-10, est.),AI/ML Friendly Score (1-10, est.),Remote,Hybrid,Internship,Last Verified,Source URL
smartData Enterprises,"Plot No. I-23, IT City, Sector-83 Alpha, SAS Nagar, Mohali, Punjab 140306",https://www.google.com/maps/search/?api=1&query=Plot+I-23+IT+City+Sector+83+Alpha+SAS+Nagar+Mohali,https://www.smartdatainc.com/,https://www.smartdatainc.com/careers/,Not published - use careers page form,Not published,https://in.linkedin.com/company/smartdata-enterprises,IT Services / Custom Software / Healthcare-Fintech AI,1000-5000 (multiple India locations),8,7,Yes,Yes,Yes,2026-06-11,https://www.glassdoor.co.in/Reviews/smartData-Enterprises-Mohali-Reviews-EI_IE508375.0,21_IL.22,28_IC4469455.htm
Net Solutions,"Multiple Tricity offices: Mohali, Chandigarh, Panchkula (exact street address not confirmed in search)",https://www.google.com/maps/search/?api=1&query=Net+Solutions+Mohali+Chandigarh+office,https://www.netsolutions.com/,https://www.netsolutions.com/careers/,Not published - use careers page,Not published,https://in.linkedin.com/company/net-solutions,Digital Product Engineering / Web & Mobile Dev,1000-2500,7,6,Yes,Yes,Yes,2026-06-11,https://www.naukri.com/net-solutions-overview-33704
IDS Infotech Ltd,"Plot No. EL 643, Industrial Area, Phase 9, Mohali, Punjab 160065",https://www.google.com/maps/search/?api=1&query=Plot+EL+643+Industrial+Area+Phase+9+Mohali,https://idsil.com/,https://idsil.com/careers/ (verify path),Not published,Not published,Not confirmed - search linkedin.com/company/ids-infotech,IT Services / AI / Healthcare / Engineering Solutions,1000-2000 (2000+ professionals globally),7,7,Not confirmed,Yes,Yes (offers internships per company site),2026-06-11,https://idsil.com/about-us/
Bebo Technologies Pvt Ltd,"Sector 34, Chandigarh (exact address: verify via Sulekha listing)",https://www.google.com/maps/search/?api=1&query=Bebo+Technologies+Sector+34+Chandigarh,https://www.bebotechnologies.com/,https://www.bebotechnologies.com/careers (verify path),Not published - use contact form,Not published,https://in.linkedin.com/company/bebo-technologies-pvt-ltd,Software Development & QA Outsourcing,200-500,7,5,Not confirmed,Yes,Not confirmed,2026-06-11,https://www.sulekha.com/bebo-technologies-pvt-ltd-sector-34-chandigarh-contact-address
ToXSL Technologies Pvt Ltd,"C-127, Phase 8, Industrial Area, Sector 73, Mohali, Punjab",https://www.google.com/maps/search/?api=1&query=C-127+Phase+8+Industrial+Area+Sector+73+Mohali,https://toxsl.com/,https://talent.toxsl.com/jobs,Not published - use careers portal,Not published,https://in.linkedin.com/company/toxsl-technologies,Custom Software / Mobile & Web Development,200-500,9,5,Not confirmed,Yes,Yes (active Off-Campus Hiring Batch 2026-27 found),2026-06-11,https://talent.toxsl.com/jobs
Quark Software Inc. (Quark Technologies India),"A-45, Industrial Area, Phase-VIII-B, Sector 74, SAS Nagar, Mohali, Punjab 160059",https://www.google.com/maps/search/?api=1&query=A-45+Industrial+Area+Phase+8B+Sector+74+SAS+Nagar+Mohali,https://www.quark.com/,https://www.quark.com/About-Us/Careers (verify path),Not published,Not published,https://in.linkedin.com/company/quarkcity-india-pvt-limited,Content Automation / Publishing Software,500-1000,6,6,Not confirmed,Yes,Not confirmed,2026-06-11,https://chandigarhupdates.com/list-of-companies-in-quark-city-mohali/
Sourcefuse Technologies,"Quark Atrium, A-45, Phase VIII Extension, Industrial Focal Point, SAS Nagar, Mohali, Punjab 160071",https://www.google.com/maps/search/?api=1&query=Quark+Atrium+A-45+Phase+8+Extension+Industrial+Focal+Point+SAS+Nagar+Mohali,Not confirmed - search "Sourcefuse Technologies",Not confirmed,Not published,Not published,Not confirmed - search linkedin.com/company/sourcefuse,Cloud / DevOps Consulting (AWS partner),500-1000,7,6,Yes,Yes,Not confirmed,2026-06-11,https://chandigarhupdates.com/list-of-companies-in-quark-city-mohali/
Net Quall Technologies,"Quark City, Industrial Area, Sector 74, SAS Nagar, Mohali, Punjab 140308",https://www.google.com/maps/search/?api=1&query=Quark+City+Industrial+Area+Sector+74+SAS+Nagar+Mohali+Net+Quall,Not confirmed,Not confirmed,info@netquall.com,Not published,Not confirmed,IT Services,50-200,6,5,Not confirmed,Not confirmed,Not confirmed,2026-06-11,https://chandigarhupdates.com/list-of-companies-in-quark-city-mohali/
Emerson Information Technology Solutions,"3rd Floor, F-3 Tower, Landmark Plaza, Plot A-40A, Phase-VIII B, Industrial Area, SAS Nagar, Mohali, Punjab 160059",https://www.google.com/maps/search/?api=1&query=Landmark+Plaza+F3+Tower+A-40A+Phase+8B+Industrial+Area+SAS+Nagar+Mohali,Not confirmed,Not confirmed,Not published,Not published,Not confirmed,IT / Engineering Services (captive unit of Emerson Electric),500-2000,5,4,Not confirmed,Yes,Not confirmed,2026-06-11,https://chandigarhupdates.com/list-of-companies-in-quark-city-mohali/
EVRY India Pvt Ltd,"7th & 8th Floor, Landmark Plaza, F3 Towers, SEZ A-40A, Sector 62, SAS Nagar, Mohali, Punjab 160062",https://www.google.com/maps/search/?api=1&query=Landmark+Plaza+F3+Towers+SEZ+A-40A+Sector+62+SAS+Nagar+Mohali,Not confirmed,Not confirmed,Not published,Not published,Not confirmed,IT Services (Nordic-origin, now part of Tietoevry),500-1500,5,4,Not confirmed,Yes,Not confirmed,2026-06-11,https://chandigarhupdates.com/list-of-companies-in-quark-city-mohali/
Shine Dezign Infotech,"Plot F-353, Phase 8B, Industrial Area, SAS Nagar, Mohali, Punjab 140603",https://www.google.com/maps/search/?api=1&query=Plot+F-353+Phase+8B+Industrial+Area+SAS+Nagar+Mohali,Not confirmed,Not confirmed,Not published,Not published,Not confirmed,Web/Mobile App Development,50-200,6,4,Not confirmed,Yes,Not confirmed,2026-06-11,https://chandigarhupdates.com/list-of-companies-in-quark-city-mohali/
